,Date,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,Wind SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,City,Season
1,1/1/2015,34,12,40,30.1,10,17,0,1,NA,246,New York City (USA),Winter
2,1/2/2015,40,18,45,30.24,10,14,0,4,NA,271,New York City (USA),Winter
3,1/3/2015,39,30,71,30.45,7,9,0.94,7,Rain,69,New York City (USA),Winter
4,1/4/2015,49,46,87,29.83,6,10,0.47,8,Fog-Rain,227,New York City (USA),Winter
5,1/5/2015,37,12,42,30.13,10,20,0,3,NA,290,New York City (USA),Winter
6,1/6/2015,21,9,56,30.26,6,9,0.07,7,Snow,281,New York City (USA),Winter
7,1/7/2015,18,2,50,30.05,10,21,0,4,NA,290,New York City (USA),Winter
8,1/8/2015,15,-3,46,30.37,10,17,0,3,NA,274,New York City (USA),Winter
9,1/9/2015,28,11,62,30.1,9,20,0.07,6,Snow,252,New York City (USA),Winter
10,1/10/2015,21,0,41,30.46,10,17,0,1,NA,275,New York City (USA),Winter
11,1/11/2015,29,10,46,30.62,10,11,0,6,NA,233,New York City (USA),Winter
12,1/12/2015,37,30,72,30.27,6,6,0.7,8,Rain,251,New York City (USA),Winter
13,1/13/2015,28,13,57,30.51,10,15,0,5,NA,360,New York City (USA),Winter
14,1/14/2015,26,17,65,30.38,10,12,0,7,NA,22,New York City (USA),Winter
15,1/15/2015,31,17,55,30.08,10,10,0,4,NA,300,New York City (USA),Winter
16,1/16/2015,33,13,46,29.95,10,18,0,3,NA,284,New York City (USA),Winter
17,1/17/2015,25,6,48,30.35,10,11,0,2,NA,266,New York City (USA),Winter
18,1/18/2015,37,36,81,29.91,6,6,1.62,7,Fog-Rain,304,New York City (USA),Winter
19,1/19/2015,40,26,65,29.82,10,15,,6,NA,276,New York City (USA),Winter
20,1/20/2015,37,19,43,29.94,10,12,,6,NA,295,New York City (USA),Winter
21,1/21/2015,32,10,38,30.15,10,6,,6,Snow,21,New York City (USA),Winter
22,1/22/2015,36,20,52,30.23,10,8,0,5,NA,346,New York City (USA),Winter
23,1/23/2015,34,18,52,30.23,10,11,,3,Snow,260,New York City (USA),Winter
24,1/24/2015,37,30,72,29.56,5,11,0.75,8,Fog-Rain-Snow,345,New York City (USA),Winter
25,1/25/2015,39,18,50,29.77,10,15,0,6,NA,301,New York City (USA),Winter
26,1/26/2015,28,18,62,29.9,4,18,0.33,8,Snow,31,New York City (USA),Winter
27,1/27/2015,24,16,69,29.69,5,19,0.06,8,Snow,344,New York City (USA),Winter
28,1/28/2015,25,6,49,30.07,10,14,0,2,NA,332,New York City (USA),Winter
29,1/29/2015,27,14,57,30.22,10,8,0.01,5,Snow,212,New York City (USA),Winter
30,1/30/2015,29,21,67,29.91,8,19,0.04,6,Snow,284,New York City (USA),Winter
31,1/31/2015,21,0,42,30.12,10,23,0,1,NA,310,New York City (USA),Winter
32,2/1/2015,29,18,67,30.16,8,9,0.03,7,Snow,237,New York City (USA),Winter
33,2/2/2015,25,23,74,29.6,5,19,1.18,7,Fog-Rain-Snow,1,New York City (USA),Winter
34,2/3/2015,20,7,53,30.23,10,14,0,3,NA,279,New York City (USA),Winter
35,2/4/2015,31,25,67,30.17,10,14,0,7,NA,204,New York City (USA),Winter
36,2/5/2015,27,14,58,30.01,9,20,,6,Snow,318,New York City (USA),Winter
37,2/6/2015,20,2,46,30.21,10,14,0,4,NA,280,New York City (USA),Winter
38,2/7/2015,31,19,58,30.11,10,8,,7,Snow,231,New York City (USA),Winter
39,2/8/2015,36,30,75,29.93,9,9,0,8,NA,57,New York City (USA),Winter
40,2/9/2015,28,21,80,29.99,10,17,0.14,8,Rain,31,New York City (USA),Winter
41,2/10/2015,33,21,66,30.04,10,16,,7,Snow,12,New York City (USA),Winter
42,2/11/2015,29,14,51,30.03,10,10,0,3,NA,35,New York City (USA),Winter
43,2/12/2015,29,20,58,29.81,9,13,,6,Snow,257,New York City (USA),Winter
44,2/13/2015,16,-6,37,30.11,10,19,0,1,NA,306,New York City (USA),Winter
45,2/14/2015,26,14,59,29.77,8,10,0.01,7,Snow,235,New York City (USA),Winter
46,2/15/2015,16,-1,56,29.78,9,28,,5,Snow,311,New York City (USA),Winter
47,2/16/2015,14,-11,36,30.15,10,15,0,5,NA,301,New York City (USA),Winter
48,2/17/2015,22,10,56,29.94,7,7,0.19,7,Snow,29,New York City (USA),Winter
49,2/18/2015,23,14,68,29.84,10,6,,5,Snow,167,New York City (USA),Winter
50,2/19/2015,18,-1,44,29.83,10,21,0,4,NA,292,New York City (USA),Winter
51,2/20/2015,12,-9,38,30.27,10,19,0,0,NA,286,New York City (USA),Winter
52,2/21/2015,22,17,67,30.38,6,10,0.58,7,Rain-Snow,211,New York City (USA),Winter
53,2/22/2015,38,30,78,30.17,6,4,0.2,7,Rain-Snow,246,New York City (USA),Winter
54,2/23/2015,24,4,51,30.29,10,19,0,6,NA,316,New York City (USA),Winter
55,2/24/2015,18,3,57,30.19,10,9,0,4,NA,232,New York City (USA),Winter
56,2/25/2015,28,14,55,29.88,10,11,0,4,NA,265,New York City (USA),Winter
57,2/26/2015,28,10,51,30.03,10,13,,8,Snow,15,New York City (USA),Winter
58,2/27/2015,26,4,43,30.4,10,10,0,3,NA,336,New York City (USA),Winter
59,2/28/2015,23,2,40,30.76,10,8,0,1,NA,293,New York City (USA),Winter
60,3/1/2015,27,17,62,30.49,6,5,0.51,7,Fog-Rain-Snow,222,New York City (USA),Winter
61,3/2/2015,34,19,59,30.16,9,15,,5,Snow,289,New York City (USA),Winter
62,3/3/2015,28,19,64,30.25,6,9,0.7,7,Rain-Snow,172,New York City (USA),Winter
63,3/4/2015,37,34,89,29.86,6,11,0.3,8,Rain,239,New York City (USA),Winter
64,3/5/2015,31,22,71,30.13,4,13,0.73,8,Fog-Rain-Snow,331,New York City (USA),Winter
65,3/6/2015,19,4,47,30.47,10,10,0,2,NA,293,New York City (USA),Winter
66,3/7/2015,27,14,54,30.21,10,12,0,4,NA,244,New York City (USA),Winter
